DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
KAMIENNA_FF,R_S,26182,25835,25835,25832,25844,25872,25841,25837,25830,25876,25827,25841,25836,25828,25839,25899,25842,25826,25886,25893,25839,25820,25843,25878,25829,25827,25825,25852,25854,25837
KAMIENNA_FF,R_T100,25845,25848,25852,25984,25881,25856,26125,25979,25897,25903,25987,26082,25849,25923,26252,25933,25868,25852,26172,25886,25881,25860,25911,25844,26003,25851,26066,25848,26077,25905
KAMIENNA_FF,R_T200,25889,25861,26107,25873,26013,25865,25996,26259,26021,25988,25846,25858,25914,25900,25901,25855,25861,26973,25866,25902,25872,25870,25864,25999,25950,26003,26993,26002,25846,25886
KAMIENNA_FF,R_T400,25911,26079,27006,26180,26033,25904,26209,26127,26944,25895,26257,25901,26965,26091,26029,26027,26026,25950,25936,26125,25933,26858,26049,26070,26153,26155,26249,26029,26172,26145
KAMIENNA_FF,R_T800,26037,26076,26124,26063,25908,26124,25911,26036,27046,26058,25979,26105,26048,26069,25920,26327,25959,25916,26033,26075,26182,26130,25968,25946,26053,26104,26620,26072,25929,26055
KAMIENNA_FF,R_T1600,26374,26283,25991,26047,26034,25980,26113,26276,26218,26151,26079,26161,26169,26109,25973,26138,25986,26011,26064,26121,26147,27063,26093,26043,26123,26148,26141,26302,26160,26108
KAMIENNA_FF,TDM_S,90402,88632,88864,89709,89682,88195,88139,87922,87937,87679,87676,87618,87108,87176,87006,86754,86756,86069,86256,85990,86064,85806,85570,85390,88536,85292,85513,85089,84918,85241
KAMIENNA_FF,TDS_S,93332,93515,93354,96671,93396,93354,93094,93488,93319,92979,93027,93010,92902,92985,93188,93317,92786,92791,93312,92666,92883,92668,92578,92600,93760,92655,92425,92690,92900,92523
KAMIENNA_FF,TDS_P,5147,5458,5240,5278,5458,5287,5275,5340,5172,5417,5196,5086,5197,5111,5090,5347,5207,5327,5295,5410,5169,5253,5116,5086,5289,5175,5077,5089,5308,5282
KAMIENNA_FF,DD_S,55544,56286,55885,55530,55018,55441,55274,55044,55366,55046,54826,55009,54555,54769,54582,54184,53978,54087,53970,53970,53601,53632,53360,53430,53682,53603,53435,53440,53694,57395
KAMIENNA_FF,DD_P,4385,4756,4540,4825,5175,4453,4283,4640,4917,4439,4273,5027,4962,4880,4385,4998,4345,4262,4220,4538,4591,5044,4525,4842,4175,4817,5028,4342,4599,4439
TANEW_FF,R_S,29895,29009,28881,28836,28831,28995,28667,28829,28585,28998,28749,28581,28853,28625,28625,28627,29015,28866,28571,28748,28593,28856,28851,29120,29050,28695,28989,29079,29000,28698
TANEW_FF,R_T100,29092,30043,30521,30505,28872,30707,29106,29127,28640,28913,28974,29122,28627,28728,28895,28906,29907,29975,28909,29018,29346,29040,28906,28880,30004,30012,30586,28691,28957,29142
TANEW_FF,R_T200,29988,29080,30720,28910,28912,30053,29099,28947,29130,29902,28973,28695,28977,29410,29988,28941,28722,28694,28966,28661,28905,28703,28962,28632,29575,28958,28697,29095,29043,29085
TANEW_FF,R_T400,30078,28713,28958,28859,29601,29166,30046,29021,29021,29957,29951,28770,30337,30747,29048,28680,30581,30177,28845,30209,28957,28841,29060,28769,28707,30546,28787,28713,28951,30824
TANEW_FF,R_T800,29186,31205,29448,31437,29370,31096,29820,29795,31170,29473,29517,29474,29467,29573,29628,29545,30456,29243,29378,29655,30188,29416,30932,29578,29215,29168,29187,31038,30931,29626
TANEW_FF,R_T1600,29394,30205,30749,29772,30821,30301,29645,31492,30033,29668,29509,29618,31888,30119,31934,29762,30275,30808,29228,29876,30679,30126,30013,29344,30928,29816,30328,30166,31007,29760
TANEW_FF,TDM_S,100375,100654,99862,101199,99640,99971,99802,98783,99397,99451,99668,98123,98975,98726,97737,97951,98178,98443,97611,98153,97466,97167,97995,96758,97348,96499,96440,96221,96168,96126
TANEW_FF,TDS_S,109463,106530,106502,106232,107446,106306,106433,106364,107282,106270,106235,106145,106893,105979,107640,105822,105805,105825,107517,105559,105392,106375,105548,105753,104916,105195,106223,105415,105346,105387
TANEW_FF,TDS_P,5999,5583,5503,5648,5787,5595,5632,5732,5749,5581,5830,5844,5891,6005,5772,5626,5569,5854,5881,5508,5583,5959,5638,5586,5626,5996,5494,5868,5583,5587
TANEW_FF,DD_S,60513,60910,61078,60691,60995,60787,60736,60489,60483,60407,59825,60206,59772,59645,59509,59578,59380,59149,59423,66548,58939,58988,58920,58869,58904,58588,58681,58579,58596,58976
TANEW_FF,DD_P,4776,4920,5220,5064,5120,4936,4986,4937,5106,5320,4961,5194,5811,5437,5867,5125,5204,5044,5274,5910,5116,5156,5384,5006,5258,5272,5582,5277,5033,5267
BARYCZ_FF,R_S,91515,91190,92407,90658,90730,90541,94646,90849,90858,90704,90860,90715,90995,90920,91154,90942,90508,90802,90486,91257,91562,90856,90928,90926,91099,90794,90441,92357,90467,90878
BARYCZ_FF,R_T100,91020,90812,90586,92743,94323,94331,90574,91750,90523,90922,90966,92550,95456,90550,90872,91004,90627,90890,90607,90656,90627,91316,90845,90937,91390,94457,91053,91038,91203,90848
BARYCZ_FF,R_T200,93615,90956,91345,90972,93709,90960,91098,94369,90852,90550,93575,90639,94164,90846,91034,90994,90969,96490,94105,94045,90816,94080,91021,94095,94407,95632,93430,91501,91365,95676
BARYCZ_FF,R_T400,90992,93306,91033,91011,90947,93925,91331,90700,90982,91070,90897,91073,93971,90728,91085,91071,93879,90975,94590,92011,91145,92861,95718,95760,91068,91055,91132,91107,94668,94055
BARYCZ_FF,R_T800,93636,93420,91180,91235,91620,94948,91340,91631,91219,94638,92977,91312,94510,94871,96766,90833,94410,93062,90788,93180,94018,91083,93954,95464,94214,96160,94260,94284,91162,91172
