DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
KAMIENNA_FF,R_S,27651,27606,27660,27663,27554,27676,27650,27650,27636,27697,27668,27684,27635,27732,27666,27670,27651,27685,27565,27689,27656,27620,27703,27630,27635,27620,27649,27431,28893,27602
KAMIENNA_FF,R_T100,27680,27707,27771,27765,27783,27766,27665,27692,29222,29258,27731,27691,27661,27746,27750,29278,27728,29165,27733,27750,27776,27707,27730,27753,27768,27743,29105,29112,29110,27723
KAMIENNA_FF,R_T200,27746,27804,27787,27759,27739,27706,27749,27720,29090,29207,29146,29130,27688,29205,29327,27782,29185,27748,27702,29174,27873,29113,29151,27732,29159,29140,27714,27746,29444,29142
KAMIENNA_FF,R_T400,27864,29120,29166,29194,27727,28055,27706,27930,27757,29211,27807,27782,27783,29402,29112,29195,29189,29118,29155,27775,29131,29161,29194,29245,29222,27770,29365,29175,27727,29179
KAMIENNA_FF,R_T800,27760,29253,29229,27993,29175,27800,27777,29226,29194,29241,29208,27771,29273,27872,27802,27838,27774,27774,27739,29215,29331,29186,29176,29193,29367,29139,29384,29207,27917,29139
KAMIENNA_FF,R_T1600,29466,27843,27816,27800,27841,29181,27715,27789,29258,29222,29268,29515,29206,28191,29218,27910,29186,27841,29346,27888,29239,29218,29306,27864,28020,29189,29218,29267,29281,29233
KAMIENNA_FF,TDM_S,90845,90748,90846,90979,90826,90799,90774,90919,90796,90772,90824,90778,90792,90870,90829,90889,91127,90894,90882,90805,91017,90891,90794,90898,90915,90799,90742,90830,90802,90812
KAMIENNA_FF,TDS_S,95550,95120,95224,95250,95026,95306,95973,94817,94916,94756,95230,95144,94968,95000,95139,94989,95127,94898,95256,95141,95014,95032,95077,94796,95010,94965,94810,95110,94913,95101
KAMIENNA_FF,TDS_P,8108,8085,8092,8105,8094,8112,8123,8093,8144,8146,8108,8103,8139,8103,8106,8084,8129,8139,8147,8092,8089,8080,8178,8135,8104,8112,8120,8101,8131,8111
KAMIENNA_FF,DD_S,57918,57848,57953,57868,58071,58036,57906,57914,57969,57867,57818,57859,57963,57855,57940,57992,58063,58062,57852,57829,57860,57866,57838,57935,57948,57915,57864,58026,57920,57864
KAMIENNA_FF,DD_P,6460,6154,6125,6640,6660,5972,6180,6130,6511,6361,6278,5968,6336,5923,6748,6118,6721,6280,6696,6448,6291,6238,6199,6296,6487,6270,6011,6727,6000,6530
TANEW_FF,R_S,30341,30412,30483,30493,30423,30415,30415,30467,30446,30397,30429,30378,30459,30522,30431,30421,30489,30456,31572,31667,31520,30474,30413,30355,30443,31637,30409,30491,31489,30382
TANEW_FF,R_T100,31584,30505,31726,31591,30547,30567,31677,31672,30485,31651,30548,30620,30578,31664,32139,30479,31586,31731,31665,31706,31580,31606,31746,31671,31728,31686,30473,31594,31654,30433
TANEW_FF,R_T200,31592,31663,31695,31714,30607,30553,30569,31625,31612,31654,30505,30477,30571,30548,31564,31648,31653,31535,31679,30553,31774,31617,30549,31666,31637,30581,31662,31601,31655,30361
