ALGORITHM,THREADS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
TDS_P,1,384952,383476,381605,383253,382120,382734,384012,382065,381926,383513,384249,384150,382045,383317,383566,383639,382461,382126,383966,381962,382518,381343,383141,382731,383003,383735,380277,379006,382085,382370
TDS_P,2,239106,238799,238103,238513,238608,237835,238622,237288,239394,234260,235325,238640,240949,239224,238639,239422,238106,235897,238434,239487,239390,239226,236166,239648,239394,234577,239186,238361,238867,239808
TDS_P,3,153518,154521,153803,150958,152881,150847,153482,150735,152118,150316,150261,150813,151959,155696,155280,154129,153594,153475,151048,153714,150389,152720,151639,153667,151559,153177,153118,151575,153773,151258
TDS_P,4,120377,120608,118133,121764,120882,120327,121461,119974,121630,118784,121339,123197,122050,121188,119641,118952,118640,120747,121155,118485,120637,120693,118897,118370,121401,120734,119824,121965,120428,119526
TDS_P,5,96657,97839,98248,98436,95976,97161,97034,96359,98746,99267,97966,102091,98041,98281,101566,98004,96526,97155,98252,98223,95741,96902,99355,98523,100066,97072,100374,99110,98225,99877
TDS_P,6,83658,86293,85634,83897,83231,82952,82667,83994,83509,80737,85416,82785,82493,83328,79601,82833,83062,83899,83708,83298,84225,80225,84196,84746,82315,81003,84996,82934,84146,84242
TDS_P,7,73692,73892,73962,75189,71803,69375,73935,73617,72387,72236,72956,71708,72074,71538,73625,74743,74334,72803,72312,73207,73362,73336,74744,74312,73931,73278,73536,74943,73589,73520
TDS_P,8,65404,66152,63217,64994,66782,65668,66395,65665,65224,65148,66433,63540,65777,64833,61725,65487,64612,65069,64699,64025,65505,65069,64372,64465,66524,64141,65268,65150,64046,64401
TDS_P,9,58008,59764,59022,60703,59701,59082,57652,59572,59905,58294,58743,58666,57350,59926,60553,58858,60279,56104,58456,58075,58394,57820,58358,58514,58318,58942,59022,56909,58398,59850
TDS_P,10,53552,53511,52686,52981,52784,54850,53634,54469,54774,52533,53058,54083,54560,56230,54142,53078,53776,53919,54515,53465,52878,54483,54079,54530,53959,53800,53667,53627,53683,53560
TDS_P,11,49735,50058,49022,49691,49197,49505,49310,50273,49312,48179,49793,49513,49723,49361,48528,50562,50062,49714,49131,49306,48371,48678,49010,50107,51016,49582,49547,48246,49464,48864
TDS_P,12,46120,46331,46605,46229,45511,45469,46284,45700,45240,46033,47808,45596,45488,45909,45569,45955,46746,47024,45502,46270,46025,46447,45904,46455,46927,46614,46164,46237,46529,46147
TDS_P,13,42750,42266,43998,42134,42249,41998,43690,42946,43124,43424,43256,43395,43681,40924,42923,42486,43424,42178,42624,42946,42107,42965,42627,42083,42527,42789,43476,43696,42711,43527
TDS_P,14,39453,40358,39534,39366,40781,40787,39738,40812,41522,40142,39696,41115,40179,38481,39453,39787,40651,40657,38695,39545,39588,40532,41031,39337,39807,39761,40096,42326,40178,41159
TDS_P,15,37437,36690,38659,37830,36969,37677,37158,37234,37553,36924,39408,37896,37380,37246,37757,37948,36394,37594,37478,37075,38245,37000,37285,37463,37415,38763,37314,36980,37495,37736
TDS_P,16,36059,36057,36970,36234,35736,35499,34788,35401,36394,36232,35357,36425,36349,37093,36202,35988,34908,36512,36456,35645,36645,35798,36623,35994,36071,36427,36037,34864,35813,37015
TDS_P,17,33982,33830,34355,33797,32878,34573,33790,33169,33862,34390,32740,33489,33415,33642,33470,35288,33773,33190,33451,33970,33639,32543,33426,34008,33146,34180,33736,33464,34558,33659
TDS_P,18,33658,32079,32450,31743,32288,32727,32612,32480,33439,31727,31946,32411,32147,33236,32289,32013,32254,32244,32314,31724,31221,31659,33265,32496,31770,33149,32566,31832,32338,31879
TDS_P,19,31360,31113,29733,31949,31387,30938,30342,32231,30839,30781,30943,30740,30353,30738,30083,31116,30674,30558,30779,31238,31008,32446,30779,31252,30509,32653,29948,30188,32292,31484
